Time	Fx	Fy	Fz	COPx	COPy	COPz	Ty
110	-0	-0	-0	2149	0	976.7	-0
111	-0	-0	-0	2149	0	976.7	-0
112	-0	-0	-0	2149	0	976.7	-0
113	-0	-0	-0	2149	0	976.7	-0
114	-0	-0	-0	2149	0	976.7	-0
115	-11.75	-17.24	-3.59	1882.23	0	1055.4	-5509.91
116	13.2	15.41	-0.46	2893.53	0	857.02	-9399.49
117	-0	-0	-0	2149	0	976.7	-0
118	-0	-0	-0	2149	0	976.7	-0
119	-0	-0	-0	2149	0	976.7	-0
120	-0	-0	-0	2149	0	976.7	-0
121	-0	-0	-0	2149	0	976.7	-0
122	-0	-0	-0	2149	0	976.7	-0
123	-0	-0	-0	2149	0	976.7	-0
124	-0	-0	-0	2149	0	976.7	-0
125	-0	-0	-0	2149	0	976.7	-0
126	-0	-0	-0	2149	0	976.7	-0
127	-0	-0	-0	2149	0	976.7	-0
128	-0	-0	-0	2149	0	976.7	-0
129	-0	-0	-0	2149	0	976.7	-0
130	-31.28	175.17	-1.3	2666.53	0	895.39	-13626.4
131	-150.38	336.61	57.68	2705.58	0	888.92	-50848.6
132	-160.83	588.07	188.98	2630.68	0	931.05	-47361.2
133	-509.11	671.84	116.04	2594.71	0	909.41	7945.58
134	-315.02	847.32	230.79	2645.19	0	935.7	57915.8
135	-333.25	1271.67	136.49	2564.39	0	932.33	6047.26
136	-153.12	1158.91	151.06	2637.93	0	932.63	99650.1
137	79.19	1435.39	122.22	2544.61	0	943.89	4195.1
138	-177.08	1474.15	65	2545.2	0	941.64	-39017.7
139	-225.52	1489.56	-86.67	2568.1	0	944.67	-24327.9
140	-317.76	1587.22	-65.31	2493.6	0	945.59	-9007.15
141	-375.52	1452.18	46.23	2554.86	0	959.56	30079.1
142	-341.34	1499.48	-60.12	2485.35	0	956.49	-9879.44
143	-346.91	1442.11	-139.54	2545.91	0	947.65	-34547.6
144	-390.17	1418.3	-52.11	2503.1	0	948.91	-8237.06
145	-322.8	1575.62	-42.72	2477.38	0	944.51	-31613.7
146	-434.65	1516.57	-81.63	2488.29	0	946.87	-19133.8
147	-410.69	1640.78	-9.46	2447.22	0	954.97	20883.1
148	-367.58	1689.15	86.67	2496.4	0	959.33	24852.5
149	-395.89	1679.08	20.75	2415.73	0	955.1	-198.61
150	-216.14	1972.81	0.53	2434.64	0	942.89	4220.62
151	-402.3	1843.87	47	2387.8	0	943.88	-7735.94
152	-186.77	2058.87	71.18	2358.85	0	942.55	11318.5
153	-209.43	2052.92	91.17	2422.61	0	948.78	28569.8
154	-238.8	1982.57	76.9	2333.75	0	946.55	8090.66
155	-30.36	2149.51	179.29	2387.31	0	955.14	27402.3
156	-276.11	2017.67	65	2311.94	0	943.61	27320
157	22.51	2150.12	97.05	2325.36	0	949.59	-255.89
158	-111.85	2069.09	75.99	2300.58	0	943.23	17589
159	-125.2	2066.8	57.37	2260.13	0	945.41	7124.77
160	96.66	2094.12	21.06	2284.78	0	943.56	-3174.72
161	-96.66	2014.77	45.24	2231.07	0	950.15	17441.3
162	133.67	2014.77	64.54	2256.24	0	953.02	4446.43
163	62.33	1972.35	30.44	2216.33	0	951.4	12764.3
164	96.74	1945.95	39.29	2208.89	0	952.81	21279
165	239.56	1952.97	31.13	2207.79	0	948.82	-10092.8
166	125.2	1865.23	25.41	2167.94	0	950.67	12905.7
167	263.14	1841.28	-0.61	2176.91	0	945.45	12744.9
168	248.95	1807.4	20.45	2151.83	0	952.3	-7760.35
169	245.51	1680.6	12.28	2140.39	0	949.78	18688.4
170	338.82	1671.91	1.53	2137.25	0	953.44	-3637.98
171	270.61	1526.03	-3.89	2096.62	0	954.49	9462.79
172	364.46	1489.72	13.43	2125.43	0	955.69	5019.43
173	335.62	1382.45	-31.2	2067.12	0	954.14	3576.21
174	339.89	1278.38	-30.9	2062.06	0	954.45	10990.9
175	386.35	1223.6	-19.45	2075.48	0	956.84	-4022.26
176	336.69	1053.92	-63.55	2006.3	0	951.96	10162.1
177	397.57	1042.63	-39.75	2054.84	0	961.72	-3606.98
178	336.38	872.8	-52.87	2003.73	0	956	5802.36
179	353.32	801.54	-54.09	1987.38	0	961.03	-6492.27
180	352.1	719.45	-59.89	2014.26	0	961.88	-2821.01
181	300.52	601.65	-62.26	1964.38	0	958.43	-2027.97
182	318.76	543.82	-54.47	1979	0	965.36	-13451.3
183	264.28	454.41	-68.74	1965.85	0	947.52	5238.42
184	237.73	387.73	-61.8	1936.04	0	948.05	-5098.85
185	246.58	296.48	-45.01	1960.6	0	957.75	-8908.63
186	176.62	262.6	-35.25	1887.56	0	955.54	810.83
187	189.36	205.38	-23.57	2015.88	0	961.73	-20427.2
188	134.05	140.84	-22.51	1897.73	0	972.09	-6029.76
189	108.8	116.58	-26.55	1858.81	0	926.62	-191.97
190	104.37	97.35	-7.78	2186.71	0	936.65	-14746.7
191	34.26	49.44	-14.57	1560.63	0	891.32	1473.2
192	60.65	51.42	-17.32	2337.32	0	842.89	-5939.86
193	14.65	32.65	-4.5	2010.87	0	871.82	-8992.7
194	-0	-0	-0	2149	0	976.7	-0
195	-0	-0	-0	2149	0	976.7	-0
196	-0	-0	-0	2149	0	976.7	-0
197	-0	-0	-0	2149	0	976.7	-0
198	-0	-0	-0	2149	0	976.7	-0
199	-0	-0	-0	2149	0	976.7	-0
200	-0	-0	-0	2149	0	976.7	-0
201	-0	-0	-0	2149	0	976.7	-0
202	-0	-0	-0	2149	0	976.7	-0
203	-0	-0	-0	2149	0	976.7	-0
204	-0	-0	-0	2149	0	976.7	-0
205	-0	-0	-0	2149	0	976.7	-0
206	-0	-0	-0	2149	0	976.7	-0
207	-0	-0	-0	2149	0	976.7	-0
208	-0	-0	-0	2149	0	976.7	-0
209	-0	-0	-0	2149	0	976.7	-0
210	-0	-0	-0	2149	0	976.7	-0
211	-0	-0	-0	2149	0	976.7	-0
212	-0	-0	-0	2149	0	976.7	-0
213	-0	-0	-0	2149	0	976.7	-0
214	-0	-0	-0	2149	0	976.7	-0
215	-0	-0	-0	2149	0	976.7	-0
216	-0	-0	-0	2149	0	976.7	-0
217	-0	-0	-0	2149	0	976.7	-0
218	-0	-0	-0	2149	0	976.7	-0
219	-0	-0	-0	2149	0	976.7	-0
220	-0	-0	-0	2149	0	976.7	-0
221	2.9	18.77	-10.76	2864.33	0	871.44	-16921.6
222	-0	-0	-0	2149	0	976.7	-0
223	-0	-0	-0	2149	0	976.7	-0
224	-0	-0	-0	2149	0	976.7	-0
225	-0	-0	-0	2149	0	976.7	-0
226	-0	-0	-0	2149	0	976.7	-0
227	-0	-0	-0	2149	0	976.7	-0
228	-0	-0	-0	2149	0	976.7	-0
229	4.58	15.41	-2.82	2853.46	0	849.76	-9332.94
230	-0	-0	-0	2149	0	976.7	-0
231	8.16	27.77	-7.48	2303.96	0	919.22	-10622.9
232	-7.02	-16.94	-1.53	1738.1	0	858.93	-6764.32
233	-0	-0	-0	2149	0	976.7	-0
234	-0	-0	-0	2149	0	976.7	-0
235	-0	-0	-0	2149	0	976.7	-0
236	12.21	24.72	-0.23	2930.48	0	739.73	212.87
237	-19.45	-15.87	-10.45	2398.16	0	928.68	-12978.8
238	-0	-0	-0	2149	0	976.7	-0
239	-0	-0	-0	2149	0	976.7	-0
240	3.97	81.63	5.65	2903.56	0	1023.06	-16526
241	-157.62	282.29	-4.65	2701.38	0	986.97	13935.3
242	-59.05	659.33	-144.73	2678.44	0	966.64	32703.6
243	-553.59	650.79	-133.59	2597.65	0	957.99	-33233.5
