Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0.067	2399.25	1033.91	1107.28	2390.91	1009.18	902.604	2206.15	1065.81	1049.69	2211.31	1064.39	960.937	2292.26	1107.35	1167.96	2321.28	1109.8	850.668	2425.49	739.14	1185.74	2495.53	656.604	1162.55	2374.23	706.505	1149.8	2442.11	623.625	1123.63	2567.23	303.345	1150.14	2591.51	227.826	1132.68	2529.87	300.412	1110.19	2551.93	225.034	1095.07	2558.78	125.283	1069.26	2554.98	74.7627	1061.05	2575.46	85.4347	1103.01	2185.3	697.581	856.439	2168.56	590.075	874.757	2150.62	715.136	912.955	2129.21	608.886	934.516	1865.92	527.494	894.977	1789.21	514.615	915.775	1870.33	568.779	928.315	1789.11	554.864	947.971	1742.04	573.453	980.155	1702.36	603.024	992.421	1693.11	574.994	943.467	2783.79	132.393	1033.35	2751.41	100.075	1137.36	1627.55	383.013	1014.86	1612.18	430.925	911.096
0.073	2399.96	1030.28	1109.12	2391.81	1005.07	903.111	2206.27	1060.11	1049.15	2212.11	1058.54	959.515	2293.12	1102.77	1167.27	2324.03	1104.31	850.558	2424.13	733.963	1184.63	2493.61	650.824	1161.97	2372.67	701.49	1148.72	2440.08	618.225	1123.02	2552.96	296.248	1150.59	2573.7	219.603	1133.95	2515.5	294.867	1110.75	2534.12	218.514	1096.12	2536.38	119.034	1069.48	2530.35	68.8441	1060.87	2550.52	78.1945	1103.37	2191.45	689.951	857.392	2177.37	582.005	875.414	2156.35	706.397	914.095	2137.85	599.569	935.252	1880.17	531.931	896.29	1802.27	523.16	917.54	1885.96	573.469	930.037	1804.27	563.078	950.004	1756.88	583.763	982.54	1718	614.667	994.745	1708.44	586.997	945.42	2762	115.546	1037.1	2726.39	84.5979	1139.97	1636.8	396.454	1014.74	1623.57	445.66	911.29
0.08	2400.8	1026.49	1111.28	2392.68	1000.58	903.784	2206.79	1053.65	1048.6	2213.17	1052.22	957.466	2290.86	1097.46	1166.68	2327.64	1098.3	850.72	2422.27	727.887	1183.64	2491.16	644.034	1161.32	2370.73	695.677	1147.29	2437.55	611.95	1121.98	2538.21	288.879	1151.86	2555.68	211.218	1135.57	2500.61	288.778	1112.03	2515.72	211.312	1098	2513.39	113.093	1071.09	2504.85	63.1751	1061.4	2525.01	71.184	1104.23	2197.38	682.273	858.487	2186.05	573.849	875.774	2162.32	697.53	915.367	2146.74	590.052	935.513	1894.11	536.332	897.962	1816.36	530.742	918.877	1902.31	577.118	931.414	1819.8	569.012	954.062	1771.97	593.402	985.117	1733.61	624.819	997.265	1722.91	599.676	945.26	2738.84	98.2607	1040.07	2700.33	68.2542	1142.28	1648.08	407.716	1014.52	1636.27	457.759	911.321
0.087	2401.74	1022.55	1113.43	2393.51	995.691	904.636	2207.3	1046.9	1047.83	2213.94	1045.48	955.078	2290.79	1092.29	1166.59	2331.32	1091.94	851.02	2419.4	720.352	1183	2487.44	635.687	1161.03	2367.89	688.962	1145.59	2434.05	604.89	1120.53	2523.68	281.01	1153.55	2537.85	202.549	1137.88	2485.55	281.878	1114.35	2497.4	203.958	1100.86	2490.32	107.083	1073.68	2479.06	57.8705	1063.73	2499.72	64.26	1106.23	2203.44	674.636	859.479	2194.78	565.759	876.128	2168.58	688.557	916.685	2155.92	580.569	936.57	1909.84	540.049	899.045	1831.46	537.053	919.996	1919.28	579.734	932.828	1837.13	576.011	953.594	1787.32	601.906	987.918	1749.12	633.644	1000.09	1738.41	608.844	947.44	2714.68	80.4098	1041.94	2674.46	52.2129	1144.2	1661.32	417.204	1013.54	1651.66	469.264	910.965
0.093	2402.92	1018.2	1115.48	2394.15	990.413	905.726	2208.3	1039.86	1047.04	2212.26	1036.46	959.893	2290.87	1086.66	1166.48	2334.78	1085.34	851.368	2414.98	711.165	1183.28	2481.83	625.593	1161.61	2363.77	681.396	1143.54	2429.25	596.723	1118.46	2509.43	272.322	1155.78	2520.52	193.354	1140.4	2470.56	274.419	1117.4	2479.48	195.899	1104.34	2467.02	101.967	1076.95	2451.67	54.4282	1067.48	2474.13	58.496	1109.26	2209.56	666.718	860.352	2203.71	557.715	876.066	2175.62	679.421	918.509	2165.47	571.098	937.41	1925.81	542.045	900.132	1847.54	542.294	920.874	1936.92	581.354	933.964	1854.6	580.725	954.73	1802.95	608.094	990.374	1764.94	640.983	1002.94	1754.76	617.382	949.673	2688.83	61.3079	1040.26	2649.07	43.0438	1146.68	1676.12	424.645	1012.45	1667.82	478.141	910.403
0.1	2403.42	1012.69	1117.87	2394.94	984.892	906.928	2209.8	1032.3	1046	2212.24	1029.05	958.817	2290.41	1080.54	1166.92	2336.95	1078.63	851.631	2408.75	700.764	1183.76	2473.8	613.775	1162.52	2358.69	674.111	1141.79	2422.38	587.751	1116.2	2494.09	262.723	1158.44	2501.84	183.095	1142.58	2454.66	266.357	1120.63	2459.47	187.677	1108.61	2438.77	97.1566	1080.39	2422.69	48.569	1072.47	2445.74	54.316	1113.85	2215.92	658.702	860.839	2212.83	549.69	875.857	2182.6	670.113	919.578	2175.49	561.557	938.016	1942.59	543.362	900.561	1864.37	546.188	921.611	1955.17	581.96	934.848	1872.84	584.112	955.766	1819.5	614.067	992.914	1781.42	646.722	1005.82	1771.34	623.238	954.058	2659.22	61.069	1036.36	2621.71	42.993	1146.32	1692.52	430.155	1010.96	1685.06	485.353	909.544
0.107	2403.46	1007.18	1118.47	2395.73	979.116	907.807	2207.86	1025.37	1045.28	2212.08	1021.98	957.591	2291.29	1073.8	1167.05	2338.09	1072	852.074	2401.49	690.282	1183.42	2464.76	601.867	1162.42	2351.48	665.671	1139.96	2414.56	579.168	1112.62	2476.66	252	1158.85	2479.59	172.808	1139.7	2435.29	259.599	1124.24	2434.91	180.711	1109.12	2408.8	90.7765	1079.21	2392.58	41.4403	1074.43	2416.07	50.4018	1115.17	2222.73	650.823	860.96	2222.57	541.854	875.022	2189.81	660.934	920.341	2186.09	552.251	938.2	1959.95	543.371	900.834	1881.94	548.835	921.941	1973.87	581.483	935.367	1891.73	586.398	955.914	1836.76	618.5	995.231	1798.46	650.785	1008.51	1788.88	628.145	956.411	2629.58	56.809	1033.68	2593.8	44.4952	1145.4	1710.05	433.931	1009.38	1703.37	490.868	908.965
0.113	2402.45	1000.64	1118.28	2396.17	972.865	908.559	2206.91	1019.22	1043.9	2211.76	1015.16	956.245	2292.5	1067.04	1167.71	2338.03	1065.5	852.504	2394.2	681.236	1181.62	2455.35	591.574	1159.77	2343.95	658.081	1138.06	2405.44	570.912	1109.29	2458.56	244.51	1154.54	2455.35	165.869	1133.92	2415.69	255.256	1122.66	2409.75	176.991	1105.49	2378.27	87.8251	1075.38	2363.1	38.133	1072.69	2386.2	49.1497	1112.88	2230.4	643.505	860.656	2233.31	533.498	874.797	2197.01	651.281	919.949	2197.58	543.573	937.735	1977.95	542.486	900.883	1900.1	550.125	922.1	1993.1	579.988	935.429	1911.12	587.375	956.197	1854.73	621.443	997.2	1816.28	653.332	1010.89	1806.95	631.437	958.21	2599.89	58.3832	1037.45	2563.57	44.2526	1147.13	1728.87	435.478	1007.26	1722.23	494.731	908.268
0.12	2400.23	994.289	1117.18	2396.34	966.333	909.226	2205.55	1014.51	1043.4	2211.33	1008.93	954.84	2294.06	1060.31	1168.86	2337.04	1059.05	852.604	2387.48	675.37	1180.19	2447.46	584.648	1157.65	2337.42	653.044	1136.8	2396.7	564.784	1107.53	2438.5	244.19	1150.62	2432.35	165.656	1130.03	2396.35	256.567	1118.14	2387.36	178.447	1101.52	2350.35	88.6519	1072.27	2334.44	39.1842	1070.86	2357.66	50.7245	1110.68	2238.45	635.762	859.987	2244.51	526.548	872.608	2204.78	642.554	919.317	2209.16	534.399	937.902	1996.32	540.455	900.571	1918.87	549.979	922.139	2012.68	577.581	935.175	1931	586.972	956.141	1873.22	622.796	998.799	1834.56	654.396	1012.76	1825.43	632.649	959.365	2571.78	56.0982	1034.52	2534.64	44.8871	1144.98	1748.16	436.145	1005.94	1741.66	496.718	907.46
0.127	2395.91	988.671	1114.62	2395.75	959.518	909.992	2203.62	1012.49	1044.31	2211.17	1003.6	953.422	2296.96	1054.09	1170.36	2334.59	1052.54	852.104	2383.08	674.089	1179.57	2441.73	582.755	1158.59	2332.1	651.667	1137.06	2390.13	562.097	1109.87	2418.06	245.447	1147.56	2407.6	167.478	1126.99	2377.73	260.252	1113.42	2364.82	182.919	1096.19	2322.2	90.8245	1067.09	2305.51	41.6041	1066.92	2328.99	53.7245	1106.65	2247.12	628.719	858.971	2256.84	519.987	871.157	2212.86	634.077	918.126	2222.08	526.166	936.528	2015.13	537.789	899.847	1938.04	548.931	921.849	2032.51	574.216	934.649	1951.07	585.45	956.038	1892.13	622.693	999.832	1853.19	653.965	1014.01	1844.34	632.671	960.485	2543.27	55.1677	1032.89	2505.03	45.238	1142.3	1768.01	435.256	1004.85	1761.68	496.819	906.839
0.133	2392.74	983.189	1113.89	2394.57	952.679	910.731	2201.9	1012.1	1045.54	NaN	NaN	NaN	2299.15	1047.85	1172.68	2330.64	1046.2	851.482	2378.14	673.587	1181	2436.83	581.981	1160.46	2327.23	651.348	1138.12	2385.19	561.03	1111.97	2395.89	247.679	1144.78	2382.86	170.062	1124.03	2357.86	264.231	1109.62	2341.41	187.775	1091.92	2294.14	93.4845	1063.58	2276.57	44.614	1064.08	2300.19	57.1801	1103.69	2256.42	622.424	857.801	2270.29	514.27	869.238	2221.37	626.223	916.685	NaN	NaN	NaN	2034.44	534.232	899.102	1957.49	546.704	921.371	2052.46	570.287	934.081	1971.36	582.843	955.59	1911.14	621.171	1000.23	1872	652.062	1014.5	1863.34	631.08	960.763	2514.33	53.9192	1031.1	2475.41	45.7332	1140.33	1788.38	432.847	1004.1	1781.94	494.862	906.346
0.14	2389.84	978.462	1114.45	2392.22	946.139	911.222	2200.2	1012.51	1045.98	NaN	NaN	NaN	2300.05	1042.36	1174.64	2326.18	1039.63	850.838	2371.34	672.333	1183.12	2430.38	580.433	1162.6	2321.19	650.437	1139.44	2379.4	560.265	1112.99	2375.31	250.045	1143.89	2357.76	173.29	1123.11	2338.22	268.282	1108.5	2318.18	192.718	1090.77	2265.81	96.0346	1060.92	2247.55	47.4385	1062.45	2271.26	60.3069	1101.84	2266.48	617.151	856.598	2284.57	509.682	867.58	2230.34	619.297	914.984	NaN	NaN	NaN	2054.04	530.196	898.112	1977.33	543.453	920.669	2072.43	566.069	933.117	1991.52	579.393	954.894	1930.06	618.239	999.709	1890.54	648.746	1014.12	1882.08	627.668	960.413	2485.29	53.3296	1030.97	2445.58	45.7021	1139.62	1809.28	428.747	1003.6	1802.15	490.764	905.852
0.147	2386.7	975.853	1115.8	2388.66	940.224	911.813	2198.09	1012.53	1045.23	NaN	NaN	NaN	2297.03	1037.94	1175.02	2321.61	1032.83	850.278	2363.35	670.17	1184.46	2421.28	577.651	1164.51	2313.31	648.97	1140.23	2371.33	558.884	1113.26	2354.09	251.227	1144.56	2333.78	175.261	1123.11	2318.05	271.051	1109.05	2294.67	196.321	1091.15	2237.47	98.2708	1060.29	2218.35	50.0781	1061.92	2242.21	62.8455	1101.42	2277.24	612.41	855.759	2299.88	505.869	865.8	2240.15	612.505	913.888	NaN	NaN	NaN	2073.78	525.948	897.088	1997.22	539.242	919.623	2092.41	561.608	931.936	2011.39	575.119	953.804	1948.5	614.096	998.358	1908.63	644.041	1012.65	1900.45	622.73	959.253	2456.01	52.5957	1031.3	2415.88	45.7296	1139.57	1830.6	422.916	1003.37	1822.41	484.409	905.247
0.153	2383.46	974.36	1116.98	2385.41	935.412	912.333	2195.89	1011.39	1043.55	NaN	NaN	NaN	2291.73	1035.29	1174.57	2317.28	1026.71	849.831	2354.01	667.266	1184.98	2410.09	573.633	1165.4	2303.75	646.994	1140.4	2360.41	556.201	1113.24	2331.39	251.377	1146.37	2308.51	176.705	1124.63	2296.24	272.52	1110.39	2269.56	198.92	1093.37	2208.01	99.2041	1061.4	2188.54	51.0321	1062.81	2212.37	63.4659	1102.45	2288.72	607.783	854.916	2316.28	502.514	864.681	2250.72	605.935	912.512	NaN	NaN	NaN	2093.71	521.205	895.747	2016.76	534.171	918.028	2111.91	557.179	930.769	2030.91	570.164	952.397	1966.17	609.656	997.137	1925.72	637.92	1010.18	1917.99	616.079	957.111	2425.84	52.3695	1032.17	2385.84	45.3404	1140.49	1852.44	415.281	1003.57	1842.8	475.378	904.626
0.16	2380.76	973.282	1117.62	2382.94	932.18	912.729	2193.33	1009.79	1041.6	NaN	NaN	NaN	2289.83	1034.52	1172.02	2313.64	1023.71	849.375	2343.41	663.848	1185.27	2396.9	568.966	1165.65	2292.75	645.447	1139.99	2346.91	553.104	1113.19	2307.97	249.898	1148.8	2281.61	176.02	1127.18	2273.07	272.449	1113.29	2243.77	199.971	1095.95	2177.8	99.5359	1064.27	2158.14	51.4745	1065.02	2182.01	63.1366	1104.84	2300.64	604.84	853.839	2334.17	501.394	864.094	2262.86	601.051	911.024	NaN	NaN	NaN	2113.33	516.599	894.734	2036.37	528.11	917	2130.79	553.153	929.508	2049.53	564.775	950.816	1982.73	603.18	994.677	1941.17	630.53	1006.72	1934.27	607.657	954.164	2395.09	52.4279	1033.83	2355.49	44.8366	1142.21	1875.12	405.738	1003.9	1863.8	463.725	903.941
0.167	2377.57	972.751	1118.32	2381.03	930.895	912.914	2190.96	1008.42	1039.33	NaN	NaN	NaN	2287.91	1035.76	1170.06	2309.45	1024.22	848.977	2331.95	660.713	1185.2	2381.95	564.288	1165.78	2280.7	644.447	1139.63	2331.43	549.978	1113.1	2283.76	246.798	1151.02	2254.63	173.948	1129.49	2248.76	270.541	1116.52	2216.81	199.227	1099.33	2147.49	100.122	1067.13	2127.5	51.9938	1067.51	2151.53	63.3349	1107.47	2313.5	603.639	852.69	2353.22	502.511	864.272	2275.55	598.232	909.551	NaN	NaN	NaN	2132.41	512.057	894.026	2055	521.517	915.759	2148.71	549.435	928.422	2066.99	558.857	949.285	1997.86	595.774	991.828	1955	621.586	1002.45	1949.48	597.319	950.332	2364.03	52.4273	1035.67	2324.86	44.2637	1144.24	1898.34	394.552	1004.73	1885.21	449.636	903.108
