Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	2390.13	1050.18	1117.58	2385.58	1021.77	913.559	2204.34	1095.71	1050.21	2209.14	1094.07	957.109	2284.11	1133.96	1165.62	2344.84	1120.67	861.912	2436.75	776.789	1178.93	2510.02	696.978	1155.96	2386.14	740.202	1146.89	2457.06	660.741	1119.03	2623.14	352.993	1144.21	2655.14	280.267	1127.1	2585.59	345.723	1105.63	2615.42	272.873	1090.52	2635.71	171.17	1064.49	2639.88	120.305	1057.18	2658.31	135.112	1098.91	2123.86	761.056	860.982	2086.33	657.584	870.997	2090.6	780.984	917.696	2048.22	679.904	930.418	1798.54	444.604	883.638	1737.88	393.344	900.244	1783.12	477.817	922.691	1720.22	423.146	938.476	1665.69	409.934	959.221	1616.92	415.017	969.17	1621.83	384.931	921.185	2857.79	210.521	1028.66	2830.55	176.721	1132.96	1660.7	190.177	1003.7	1625.22	217.389	897.471
0.007	2391.75	1050.12	1116	2385.71	1023.32	911.442	2204.94	1095.76	1051.04	2208.92	1094.2	958.218	2285.54	1132.61	1165.38	2339.92	1123.08	860.396	2433.4	772.231	1181.96	2505.58	691.236	1159.18	2383.03	737.391	1147.14	2452.99	657.381	1119.68	2628.69	349.97	1145.64	2663.88	278.815	1127.36	2590.21	340.748	1108.43	2622.61	269.298	1092.64	2645.14	169.26	1064.74	2650.36	118.683	1056.83	2668.92	133.269	1098.5	2128.01	757.652	860.151	2092.58	653.552	871.674	2095.3	777.42	917.003	2054.56	675.767	930.97	1797.98	456.099	885.603	1734.72	408.146	901.986	1784.45	490.049	924.339	1718.77	438.889	940.085	1663.51	429.154	961.219	1615.08	436.369	970.512	1618.95	405.562	923.179	2865.84	213.734	1026.23	2841.32	178.266	1130.61	1647.41	209.467	1004.95	1614.16	238.572	898.528
0.013	2393.52	1049.79	1114.05	2385.68	1024.26	909.427	2205.33	1095	1051.51	2208.71	1093.4	959.762	2287.19	1130.77	1165.51	2335.37	1124.92	859.304	2430.47	767.225	1185.15	2502.17	685.955	1161.79	2380.55	734.142	1147.58	2450.02	653.92	1120.06	2631.37	346.842	1147.5	2667.69	276.613	1128.14	2592.55	337.159	1110.2	2626.28	266.496	1093.58	2650.01	167.484	1065.18	2655.29	117.036	1057.27	2674.44	131.636	1098.54	2133.69	752.945	859.33	2099.81	648.49	872.322	2100.58	772.907	915.97	2061.47	670.982	930.646	1799.13	467.23	886.915	1733.63	421.81	904.272	1787.57	501.898	925.653	1719.11	454.424	941.546	1663.69	448.717	961.248	1615.53	458.002	972.663	1617.87	426.865	925.17	2869.79	213.562	1023.78	2846.82	177.661	1128.85	1636.39	229.291	1006.27	1604.24	260.624	899.915
0.02	2395.22	1049.27	1111.96	2385.97	1024.51	907.258	2205.52	1093.3	1051.73	2208.82	1092.36	961.058	2288.79	1128.59	1165.96	2331.33	1126.2	858.078	2428.36	762.387	1187.94	2500.1	681.349	1163.49	2379	730.522	1148.42	2448.28	650.463	1120.28	2631.08	343.281	1148.79	2667.91	273.488	1128.84	2592.67	333.928	1111.04	2626.76	263.592	1094.01	2650.52	165.292	1066.18	2655.4	114.769	1057.98	2675.07	129.465	1099.31	2139.85	747.419	858.358	2107.73	642.597	872.645	2106.55	767.565	914.802	2069.14	665.122	931.351	1802.34	477.649	888.278	1734.45	436.2	905.659	1792.46	513.236	926.442	1721.54	469.661	942.581	1665.75	466.748	962.868	1618.59	479.543	975.431	1619.24	448.277	927.807	2869.97	209.841	1022.45	2848.05	174.388	1127.26	1627.55	249.557	1007.35	1596.25	283.364	901.589
0.027	2396.21	1048.37	1108.96	2386.16	1023.9	905.39	2205.53	1090.83	1051.64	2208.3	1090.31	963.501	2292.01	1126.53	1166.11	2327.68	1126.76	856.872	2427.23	758.151	1189.96	2499.73	677.569	1163.46	2377.71	727.363	1150.01	2447.45	646.887	1120.85	2627.88	339.51	1149.09	2664.67	269.477	1129.54	2589.81	330.199	1110.98	2624.01	259.901	1094.14	2647.06	162.269	1067.45	2651.29	111.763	1058.8	2671.81	125.777	1099.91	2146.12	741.414	857.215	2115.93	636.096	872.644	2113.02	761.438	913.988	2077.42	658.446	931.476	1807.39	487.061	889.365	1736.81	449.973	906.224	1799.17	523.813	926.893	1725.96	484.356	943.217	1671.13	484.962	966.274	1624.16	500.902	978.447	1622.74	469.58	930.507	2866.79	204.19	1021.66	2845.31	168.465	1126.77	1620.76	270.168	1008.6	1590.78	306.562	903.546
0.033	2397.27	1047.18	1107.07	2386.68	1022.59	903.876	2205.48	1087.76	1051.21	2208.6	1087.73	964.689	2293.51	1124.31	1167.49	2324.17	1126.68	855.743	2427.26	754.627	1190.88	2499.88	674.467	1163.24	2378.15	723.949	1150.76	2447	642.954	1121.68	2621.98	334.873	1149	2658.26	264.483	1130.22	2584.4	325.949	1110.34	2618.02	255.174	1094.11	2640.13	158.385	1068.55	2643.25	107.82	1060.2	2664.76	120.903	1100.81	2152.34	734.978	856.102	2124.2	629.397	872.371	2119.63	754.778	913.179	2086.64	651.173	932.168	1814.08	495.442	890.052	1742.71	463.067	907.855	1807.77	533.427	926.766	1732.52	498.378	943.418	1678.75	502.883	968.836	1632.79	521.673	981.456	1629.76	490.397	933.224	2860.34	196.469	1021.76	2838.89	160.395	1126.8	1616.23	290.943	1009.8	1588.07	329.949	905.391
0.04	2397.94	1045.49	1105.7	2387.49	1020.78	902.824	2205.45	1084.12	1050.78	2208.94	1083.62	963.778	2294.42	1122.07	1168.84	2321.41	1125.55	854.734	2428.19	751.629	1190.1	2499.77	671.506	1163.54	2378.06	720.9	1151.32	2446.52	639.537	1122.92	2613.94	329.383	1149.02	2649.08	258.343	1130.76	2576.73	321.16	1109.75	2609.25	249.768	1094.19	2629.69	153.176	1069.46	2631.85	102.569	1060.74	2652.96	115.621	1101.76	2158.93	728.012	855.386	2132.7	622.049	872.444	2126.19	747.591	912.643	2095.49	643.431	932.576	1822.65	502.439	890.946	1748.88	474.214	909.054	1818.09	542.027	926.224	1740.9	511.7	943.111	1688.58	519.821	971.4	1643.85	540.65	983.922	1638.93	510.949	935.467	2850.71	187.042	1022.78	2828.04	150.9	1127.86	1613.72	311.495	1011.22	1588.17	352.95	906.925
0.047	2398.29	1043.26	1105.07	2388.15	1018.45	902.294	2205.5	1080.37	1050.41	2209.55	1079.35	963.286	2294.5	1119.37	1169.63	2319.68	1122.83	853.52	2428.04	749.47	1189.15	2499.33	668.667	1163.72	2377.52	718.01	1151.47	2445.89	636.231	1123.85	2604.2	323.467	1149.19	2637.62	251.553	1131.1	2567.08	316.273	1109.61	2597.8	243.913	1094.18	2615.97	146.601	1069.86	2617.06	95.9947	1061.06	2638.13	108.658	1102.46	2165.68	720.66	855.193	2141.51	614.368	872.811	2132.63	739.973	912.359	2104.08	635.355	933.017	1832.02	509.055	891.576	1757.02	485.042	910.724	1829.51	549.814	925.781	1750.07	522.996	941.68	1700.3	535.347	973.68	1656.83	558.788	986.237	1650.61	529.346	937.711	2837.93	175.784	1024.66	2813.74	140.123	1129.48	1613.64	331.368	1012.45	1590.76	374.836	908.476
0.053	2398.49	1040.51	1105.18	2389.02	1015.79	902.203	2205.71	1075.96	1050.21	2210.18	1074.81	962.813	2293.85	1115.98	1169.52	2319.24	1119.01	852.271	2427.42	746.917	1188.15	2498.4	665.478	1163.56	2376.64	714.791	1151.27	2444.77	632.643	1124.34	2593.07	317.081	1149.37	2623.53	243.907	1131.59	2555.83	311.097	1109.77	2584.12	237.766	1094.44	2599.11	139.343	1069.9	2599.1	88.6207	1061.27	2619.91	100.828	1102.79	2172.47	713.029	855.379	2150.46	606.38	873.526	2139.06	732.04	912.236	2112.56	626.781	933.64	1842.31	515.427	892.544	1766.56	495.264	912.628	1841.99	556.972	925.899	1761.63	535.36	942.763	1713.54	549.569	975.613	1671.28	575.179	988.292	1663.76	546.237	939.575	2822.09	162.427	1027.46	2795.73	128.185	1131.96	1615.94	350.029	1013.58	1595.7	395.181	909.764
0.06	2398.78	1037.31	1105.97	2389.96	1012.72	902.32	2205.96	1071.13	1049.99	2210.78	1069.87	961.978	2293	1111.82	1169.04	2319.8	1114.7	851.21	2426.6	743.451	1186.91	2497.12	661.497	1163.14	2375.57	710.978	1150.71	2444.03	628.071	1123.95	2580.66	310.295	1149.71	2608.3	236.004	1132.05	2543.34	305.883	1110.02	2568.71	231.518	1094.52	2579.88	132.202	1069.81	2578.17	81.3999	1061.33	2598.74	92.9932	1102.95	2179.14	705.343	855.713	2159.61	598.194	874.128	2144.86	723.801	912.49	2120.89	617.985	933.937	1853.94	521.413	893.795	1777.31	505.086	914.249	1855.55	563.368	926.756	1774.9	545.462	945.909	1727.7	562.488	977.39	1686.68	589.897	990.307	1678.12	561.365	941.464	2803.95	147.965	1030.28	2774.79	114.74	1134.57	1620.84	367.187	1014.32	1602.75	414.007	910.491
