Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.MT2X	R.MT2Y	R.MT2Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.MT2X	L.MT2Y	L.MT2Z
0	908.377	1038.85	1345	902.201	1042.36	1109.33	734.942	1061.09	1282.72	732.096	1059.75	1179.66	840.327	1098.01	1376.67	829.331	1104.98	1080.32	793.534	763.316	1432.96	791.124	652.793	1435.29	738.512	764.491	1390.82	731.685	654.588	1391.59	707.758	272.863	1426.43	716.665	192.382	1418.36	686.457	275.928	1376.86	690.268	196.34	1369.48	668.987	93.19	1369.04	657.777	43.9091	1371.1	685.685	61.0714	1412.8	794.948	785.123	1028.45	801.731	674.598	1021.57	742.252	779.578	1074.98	742.954	669.275	1065	740.075	256.265	1026.1	745.024	176.319	1038.02	704.668	261.637	1065.98	706.979	177.219	1073.36	685.311	94.6569	1085.98	670.993	44.7838	1081.07	702.089	63.1137	1036.86	834.38	944.651	1403.27	775.272	543.39	1425.64	764.669	521.916	1312.95	771.002	487.608	1433.06	818.968	461.172	1385.54	737.4	108.06	1407.12	762.734	114.917	1323.88	884.417	60.7697	1330.53	852.454	56.6836	1436.8	890.861	68.7837	1376.7	832.875	938.841	1048.44	791.901	539.945	1037.63	780.742	522.546	1150.91	787.058	480.515	1030.86	836.338	453.141	1079.52	756.621	103.241	1046.84	774.162	108.357	1131.26	899.651	62.0398	1116.42	861.045	50.4085	1009.36	903.218	67.0409	1075.25
0.007	908.336	1038.84	1344.99	902.148	1042.37	1109.33	734.899	1061.1	1282.74	732.046	1059.74	1179.68	840.304	1098.01	1376.68	829.264	1104.96	1080.31	793.513	763.313	1432.96	791.123	652.785	1435.3	738.499	764.474	1390.82	731.675	654.577	1391.59	707.751	272.859	1426.43	716.653	192.375	1418.36	686.446	275.917	1376.87	690.255	196.338	1369.48	668.977	93.188	1369.04	657.774	43.8966	1371.1	685.683	61.0596	1412.81	794.908	785.121	1028.46	801.709	674.591	1021.57	742.222	779.581	1074.98	742.927	669.271	1064.99	740.06	256.267	1026.1	745.016	176.32	1038.02	704.654	261.632	1065.98	706.976	177.209	1073.35	685.297	94.662	1085.98	670.987	44.7892	1081.07	702.093	63.1028	1036.85	834.364	944.639	1403.26	775.266	543.378	1425.65	764.652	521.912	1312.96	771.012	487.605	1433.06	818.957	461.169	1385.54	737.386	108.039	1407.12	762.727	114.925	1323.88	884.415	60.7684	1330.53	852.455	56.6892	1436.8	890.854	68.7863	1376.7	832.833	938.841	1048.45	791.874	539.939	1037.63	780.75	522.526	1150.91	787.048	480.519	1030.86	836.326	453.145	1079.52	756.624	103.243	1046.83	774.166	108.356	1131.26	900.214	62.6885	1116.31	861.055	50.4044	1009.36	903.22	67.0439	1075.25
0.013	908.307	1038.84	1344.99	902.095	1042.38	1109.33	734.852	1061.07	1282.75	732.002	1059.73	1179.7	840.284	1098	1376.68	829.186	1104.94	1080.32	793.501	763.301	1432.97	791.112	652.789	1435.31	738.479	764.465	1390.84	731.668	654.569	1391.61	707.741	272.855	1426.42	716.639	192.374	1418.36	686.437	275.905	1376.86	690.25	196.326	1369.48	668.979	93.1726	1369.05	657.77	43.8942	1371.1	685.682	61.0528	1412.81	794.885	785.119	1028.46	801.687	674.6	1021.57	742.195	779.576	1074.98	742.902	669.265	1065	740.056	256.264	1026.11	745.013	176.319	1038.02	704.643	261.622	1065.98	706.968	177.205	1073.36	685.298	94.6471	1085.98	670.982	44.7832	1081.09	702.086	63.0984	1036.86	834.33	944.63	1403.27	775.268	543.374	1425.65	764.642	521.904	1312.95	771.006	487.597	1433.07	818.961	461.159	1385.53	737.375	108.037	1407.15	762.719	114.917	1323.89	884.418	60.7867	1330.53	852.456	56.6869	1436.8	890.842	68.8223	1376.69	832.778	938.84	1048.46	791.863	539.936	1037.64	780.723	522.532	1150.92	787.032	480.513	1030.86	836.317	453.139	1079.53	756.619	103.24	1046.83	774.165	108.359	1131.26	899.648	62.0441	1116.42	861.046	50.4102	1009.34	903.217	67.0496	1075.25
0.02	908.265	1038.8	1344.9	902.043	1042.38	1109.34	734.808	1061.08	1282.77	731.95	1059.72	1179.72	840.242	1098	1376.7	829.122	1104.93	1080.32	793.488	763.302	1432.98	791.108	652.774	1435.31	738.469	764.45	1390.85	731.667	654.557	1391.62	707.74	272.847	1426.41	716.628	192.373	1418.36	686.422	275.895	1376.85	690.244	196.312	1369.47	668.974	93.1728	1369.04	657.776	43.8773	1371.1	685.672	61.0503	1412.81	794.843	785.125	1028.46	801.658	674.593	1021.58	742.17	779.568	1074.98	742.884	669.262	1064.99	740.044	256.258	1026.11	745.006	176.317	1038.02	704.625	261.615	1065.99	706.964	177.202	1073.36	685.295	94.6578	1085.98	670.987	44.7743	1081.07	702.084	63.0957	1036.85	834.292	944.629	1403.28	775.26	543.367	1425.65	764.638	521.895	1312.96	771	487.583	1433.06	818.944	461.15	1385.55	737.364	108.02	1407.13	762.712	114.917	1323.89	884.409	60.7805	1330.52	852.45	56.6936	1436.81	890.822	68.8369	1376.71	832.727	938.844	1048.47	791.844	539.931	1037.63	780.718	522.53	1150.91	787.022	480.505	1030.86	836.301	453.136	1079.52	756.61	103.243	1046.83	774.153	108.357	1131.25	900.213	62.6928	1116.3	861.044	50.4129	1009.35	903.217	67.0533	1075.25
0.027	908.219	1038.8	1344.92	902.008	1042.38	1109.34	734.767	1061.07	1282.78	731.902	1059.72	1179.73	840.202	1097.99	1376.71	829.043	1104.91	1080.31	793.477	763.286	1432.98	791.103	652.766	1435.32	738.444	764.439	1390.86	731.665	654.546	1391.63	707.726	272.842	1426.4	716.625	192.358	1418.36	686.413	275.88	1376.84	690.247	196.3	1369.48	668.964	93.1632	1369.05	657.764	43.8758	1371.11	685.659	61.0228	1412.81	794.818	785.118	1028.47	801.637	674.595	1021.58	742.142	779.566	1074.99	742.872	669.258	1064.99	740.028	256.259	1026.12	744.995	176.313	1038.02	704.617	261.611	1065.99	706.96	177.158	1073.34	685.291	94.6527	1085.98	670.977	44.7772	1081.07	702.081	63.0998	1036.86	834.264	944.625	1403.28	775.315	543.382	1425.85	764.654	521.89	1312.96	771.005	487.575	1433.08	818.945	461.146	1385.56	737.362	107.999	1407.15	762.71	114.917	1323.9	884.412	60.7908	1330.52	852.453	56.6939	1436.81	890.81	68.8368	1376.72	832.678	938.845	1048.47	791.828	539.938	1037.64	780.706	522.525	1150.93	787.022	480.513	1030.86	836.298	453.148	1079.54	756.61	103.235	1046.83	774.144	108.355	1131.26	899.805	62.5048	1116.92	861.048	50.4079	1009.36	903.215	67.0531	1075.24
0.033	908.188	1038.8	1344.92	901.966	1042.39	1109.35	734.729	1061.05	1282.8	731.865	1059.7	1179.74	840.162	1097.98	1376.73	828.993	1104.9	1080.32	793.469	763.28	1433	791.103	652.755	1435.33	738.443	764.419	1390.88	731.664	654.529	1391.64	707.724	272.831	1426.4	716.614	192.348	1418.36	686.403	275.864	1376.84	690.234	196.293	1369.48	668.961	93.1536	1369.05	657.763	43.8583	1371.11	685.654	61.0169	1412.81	794.791	785.123	1028.48	801.616	674.602	1021.58	742.125	779.556	1075	742.851	669.253	1065	740.024	256.258	1026.12	744.994	176.313	1038.02	704.612	261.608	1065.99	706.957	177.191	1073.36	685.287	94.6444	1085.97	670.983	44.7722	1081.07	702.083	63.0884	1036.85	834.237	944.61	1403.3	775.311	543.379	1425.86	764.652	521.887	1312.98	771.027	487.565	1433.07	818.964	461.141	1385.55	737.354	108.002	1407.15	762.704	114.916	1323.9	884.4	60.7975	1330.53	852.448	56.6963	1436.8	890.799	68.8588	1376.73	832.62	938.843	1048.49	791.828	539.925	1037.65	780.677	522.512	1150.93	787.01	480.502	1030.86	836.289	453.129	1079.53	756.611	103.23	1046.83	774.144	108.357	1131.26	899.801	62.5057	1116.92	861.041	50.413	1009.35	903.206	67.0569	1075.25
0.04	908.154	1038.84	1345.04	901.926	1042.38	1109.36	734.686	1061.04	1282.81	731.82	1059.7	1179.76	840.118	1097.97	1376.74	828.936	1104.89	1080.32	793.461	763.261	1433.01	791.102	652.739	1435.34	738.433	764.401	1390.89	731.661	654.511	1391.64	707.711	272.823	1426.38	716.61	192.338	1418.35	686.386	275.86	1376.83	690.228	196.273	1369.47	668.96	93.1423	1369.06	657.768	43.8517	1371.12	685.659	61.0215	1412.82	794.776	785.117	1028.48	801.583	674.59	1021.58	742.102	779.555	1074.99	742.838	669.243	1065	740.019	256.244	1026.12	744.994	176.303	1038.02	704.612	261.601	1065.99	706.944	177.163	1073.34	685.291	94.6439	1085.97	670.982	44.7621	1081.06	702.082	63.0846	1036.85	834.211	944.614	1403.31	775.325	543.369	1425.86	764.658	521.879	1312.97	771.026	487.568	1433.07	818.952	461.123	1385.56	737.355	107.987	1407.15	762.695	114.912	1323.9	884.405	60.7943	1330.52	852.447	56.697	1436.8	890.789	68.8611	1376.73	832.578	938.853	1048.48	791.812	539.929	1037.65	780.664	522.517	1150.94	787.004	480.497	1030.86	836.284	453.13	1079.54	756.614	103.226	1046.82	774.142	108.35	1131.25	899.798	62.5033	1116.92	861.041	50.4059	1009.35	903.214	67.0522	1075.25
0.047	908.127	1038.8	1344.96	901.895	1042.37	1109.37	734.65	1061.02	1282.83	731.796	1059.68	1179.77	840.062	1097.95	1376.75	828.891	1104.87	1080.33	793.448	763.26	1433.01	791.101	652.735	1435.34	738.434	764.387	1390.91	731.668	654.501	1391.66	707.712	272.82	1426.38	716.603	192.331	1418.35	686.378	275.848	1376.83	690.217	196.271	1369.46	668.964	93.1313	1369.06	657.765	43.8481	1371.12	685.653	61.0016	1412.81	794.755	785.113	1028.49	801.572	674.593	1021.59	742.087	779.552	1075.01	742.827	669.243	1065	740.02	256.238	1026.12	744.991	176.301	1038.02	704.611	261.59	1066	706.957	177.185	1073.35	685.288	94.6383	1085.97	670.985	44.7659	1081.07	702.078	63.0838	1036.85	834.187	944.603	1403.32	775.278	543.329	1425.67	764.679	521.86	1312.97	771.026	487.543	1433.08	818.97	461.113	1385.54	737.035	108.365	1407.42	762.687	114.907	1323.9	884.396	60.7994	1330.53	852.439	56.7004	1436.81	890.789	68.8687	1376.73	832.546	938.853	1048.49	791.81	539.919	1037.66	780.685	522.509	1150.94	786.991	480.492	1030.86	836.277	453.126	1079.55	756.621	103.221	1046.83	774.141	108.357	1131.25	899.746	62.6872	1116.83	861.048	50.4026	1009.35	903.215	67.055	1075.25
0.053	908.088	1038.84	1345.07	901.859	1042.38	1109.39	734.611	1061.02	1282.84	731.754	1059.68	1179.79	840.015	1097.93	1376.78	828.834	1104.87	1080.33	793.44	763.245	1433.02	791.103	652.726	1435.35	738.425	764.374	1390.92	731.666	654.483	1391.65	707.704	272.811	1426.37	716.592	192.323	1418.35	686.378	275.845	1376.81	690.225	196.26	1369.45	668.954	93.1233	1369.05	657.767	43.8374	1371.12	685.653	60.9872	1412.81	794.732	785.114	1028.49	801.56	674.596	1021.59	742.073	779.544	1075.01	742.811	669.236	1065.01	740.02	256.242	1026.12	744.986	176.298	1038.01	704.604	261.594	1065.99	706.942	177.16	1073.34	685.287	94.6379	1085.96	670.983	44.77	1081.07	702.072	63.0833	1036.85	834.164	944.602	1403.33	775.332	543.346	1425.86	764.677	521.865	1312.96	771.036	487.536	1433.07	818.971	461.112	1385.55	737.338	107.979	1407.16	762.684	114.907	1323.9	884.386	60.8055	1330.53	852.448	56.702	1436.81	890.797	68.8691	1376.72	832.491	938.846	1048.51	791.789	539.916	1037.67	780.669	522.511	1150.94	787.155	480.602	1030.83	836.262	453.134	1079.55	756.606	103.22	1046.82	774.14	108.361	1131.25	900.166	63.011	1116.78	861.046	50.4096	1009.35	903.21	67.0568	1075.23
0.06	908.064	1038.84	1345.08	901.829	1042.38	1109.4	734.578	1061	1282.85	731.721	1059.67	1179.8	839.958	1097.91	1376.8	828.798	1104.85	1080.34	793.435	763.239	1433.03	791.109	652.687	1435.35	738.412	764.362	1390.92	731.669	654.474	1391.66	707.697	272.802	1426.37	716.589	192.319	1418.35	686.369	275.831	1376.8	690.216	196.255	1369.45	668.958	93.1172	1369.05	657.766	43.8248	1371.12	685.652	60.9795	1412.81	794.719	785.112	1028.49	801.545	674.6	1021.6	742.056	779.541	1075.02	742.796	669.233	1065.02	740.009	256.234	1026.13	744.987	176.299	1038.02	704.609	261.588	1066.01	706.95	177.184	1073.37	685.29	94.6319	1085.98	670.975	44.77	1081.07	702.071	63.0849	1036.85	834.141	944.59	1403.34	775.332	543.349	1425.88	764.693	521.853	1312.97	771.029	487.527	1433.08	818.98	461.115	1385.55	737.342	107.965	1407.16	762.697	114.895	1323.92	884.37	60.8094	1330.54	852.445	56.6892	1436.81	890.79	68.8731	1376.72	832.46	938.846	1048.52	791.782	539.918	1037.67	780.643	522.514	1150.95	787.15	480.603	1030.84	836.257	453.132	1079.56	756.617	103.225	1046.82	774.132	108.353	1131.24	899.775	62.6294	1116.84	861.049	50.4097	1009.35	903.211	67.0514	1075.25
